Word,Count,Sense,Definition,Example 1,Example 2
pant,4,,"breathe noisily, as when one is exhausted","The runners reached the finish line, panting heavily",
paragraph,9,,,write paragraphs,work as a paragrapher
paralyze,8,,cause to be paralyzed and immobile,The poison paralyzed him,Fear paralyzed her
pardon,6,,,grant a pardon to,Ford pardoned Nixon
pare,4,,remove the edges from and cut down to the desired size,pare one's fingernails,trim the photograph
park,4,,place temporarily,park the car in the yard,park the children with the in-laws
park,4,,,maneuver a vehicle into a parking space,Park the car in front of the library
parse,5,,,analyze syntactically by assigning a constituent structure to (a sentence),
pass,4,,go across or through,We passed the point where the police car had parked,A terrible thought went through his mind
pass,4,,transfer to another,of rights or property,Our house passed under his official control
pass,4,,place into the hands or custody of,"hand me the spoon, please","Turn the files over to me, please"
pass,4,clear |,go unchallenged,be approved,The bill cleared the House
pass off,8,,cause to be circulated and accepted in a false character or identity,She passed the glass off as diamonds,He passed himself off as a secret agent
pass over,9,overfly,,fly over,The plane passed over Damascus
paste,5,,hit with the fists,He pasted his opponent,
patch,5,,provide with a patch,also used metaphorically,The field was patched with snow
patronize,9,,be a regular customer or client of,We patronize this store,Our sponsor kept our art studio going for as long as he could
patronize,9,,do one's shopping at,do business with,be a customer or client of
pause,5,intermit,cease an action temporarily,We pause for station identification,let's break for lunch
pawn,4,,,leave as a guarantee in return for money,pawn your grandfather's gold watch
pay,3,,"bear (a cost or penalty), in recompense for some action",You'll pay for this,She had to pay the penalty for speaking out rashly
pay,3,,"give money, usually in exchange for goods or services",I paid four dollars for this sandwich,"Pay the waitress, please"
pay,3,,render,pay a visit,pay a call
pay back,8,,take vengeance on or get even,We'll get them,That'll fix him good!
pay e,5,,discharge or settle,pay a debt,pay an obligation
peal,4,,ring recurrently,bells were pealing,
peep,4,,look furtively,He peeped at the woman through the window,
pepper,6,,,add pepper to,pepper the soup
perambulate,11,,walk with no particular goal,we were walking around in the garden,"after breakfast, she walked about in the park"
perambulate,11,,make an official inspection on foot of (the bounds of a property),Selectmen are required by law to perambulate the bounds every five years,
perform,7,,carry out or perform an action,"John did the painting, the weeding, and he cleaned out the gutters",the skater executed a triple pirouette
perform,7,,,give a performance (of something),Horowitz is performing at Carnegie Hall tonight
perk up,7,,gain or regain energy,I picked up after a nap,
permeate,8,pervade,spread or diffuse through,An atmosphere of distrust has permeated this administration,music penetrated the entire building
permit,6,,"consent to, give permission",She permitted her son to visit her estranged husband,I won't let the police search her basement
perpetrate,10,,"perform an act, usually with a negative connotation",perpetrate a crime,pull a bank robbery
perplex,7,,be a mystery or bewildering to,This beats me,Got me--I don't know the answer!
persevere,9,,"be persistent, refuse to stop",he persisted to call me every night,The child persisted and kept asking questions
persist,7,remain | stay |,stay behind,The smell stayed in the room,The hostility remained long after they made up
persuade,8,,"cause somebody to adopt a certain position, belief, or course of action",twist somebody's arm,You can't persuade me to buy this ugly vase!
pervert,7,,change the inherent purpose or function of something,Don't abuse the system,The director of the factory misused the funds intended for the health care of his workers
petrify,7,,cause to become stonelike or stiff or dazed and stunned from fright,The horror petrified his feelings,Fear petrified her thinking
philander,9,,have amorous affairs,of men,He has been womanizing for years
photograph,10,,,record on photographic film,I photographed the scene of the accident
pick,4,,select carefully from a group,She finally picked her successor,He picked his way carefully
pick,4,pluck | cull,look for and gather,pick mushrooms,pick flowers
pick up,7,,lift out or reflect from a background,The scarf picks up the color of the skirt,His eyes picked up his smile
pick up,7,,take up by hand,He picked up the book and started to read,
pick up,7,,,buy casually or spontaneously,I picked up some food for a snack
picture,7,,,"show in, or as in, a picture",This scene depicts country life
pierce,6,,cut or make a way through,the knife cut through the flesh,The path pierced the jungle
pierce,6,,move or affect (a person's emotions or bodily feelings) deeply or sharply,The cold pierced her bones,Her words pierced the students
piggyback,9,,support on the back and shoulders,He piggybacked her child so she could see the show,
piggyback,9,,haul by railroad car,,
piggyback,9,,haul truck trailers loaded with commodities on railroad cars,,
pinch,5,,"irritate as if by a nip, pinch, or tear",smooth surfaces can vellicate the teeth,the pain is as if sharp points pinch your back
pinch,5,,squeeze tightly between the fingers,He pinched her behind,She squeezed the bottle
ping,4,,,send a message from one computer to another to check whether it is reachable and active,ping your machine in the office
pink,4,ping | knock |,sound like a car engine that is firing too early,the car pinged when I put in low-octane gasoline,The car pinked when the ignition was too far retarded
pinpoint,8,,locate exactly,can you pinpoint the position of the enemy?,The chemists could not nail the identity of the chromosome
pipe,4,,,^           play on a pipe,pipe a tune
pirate,6,,,copy illegally,of published material
pit,3,,set into opposition or rivalry,let them match their best athletes against ours,pit a chess player against the Russian champion
pivot,5,,turn on a pivot,,
place,5,come in,take a place in a competition,often followed by an ordinal,Jerry came in third in the Marathon
place,5,,to arrange for,place a phone call,place a bet
place,5,,place somebody in a particular situation or location,he was placed on probation,
plagiarize,10,,,take without referencing from someone else's writing or speech,of intellectual property
plan,4,be after,have the will and intention to carry out some action,He plans to be in graduate school next year,The rebels had planned turmoil and confusion
